Date,Close/Last,Volume,Open,High,Low
11/03/2016,$76.67,715407,$76.60,$77.085,$76.2772
11/02/2016,$76.58,587809,$75.78,$76.96,$75.29
11/01/2016,$76.14,745322,$77.08,$77.41,$75.80
10/31/2016,$76.80,667111,$76.99,$77.75,$76.34
10/28/2016,$76.80,805273,$76.78,$77.57,$76.51
10/27/2016,$76.84,784565,$78.40,$78.45,$76.44
10/26/2016,$78.40,629761,$77.54,$79.21,$77.52
10/25/2016,$78.25,738029,$78.46,$79.43,$78.08
10/24/2016,$78.73,1285336,$81.63,$82.14,$78.22
10/21/2016,$79.99,1843912,$75.17,$80.00,$74.07
10/20/2016,$72.91,947161,$71.85,$73.02,$71.80
10/19/2016,$72.49,710028,$71.98,$72.87,$71.98
10/18/2016,$71.77,598636,$72.40,$72.40,$71.68
10/17/2016,$71.50,432104,$72.04,$72.415,$71.47
10/14/2016,$72.15,800761,$72.33,$72.81,$71.95
10/13/2016,$71.74,724382,$71.57,$72.37,$70.64
10/12/2016,$72.29,524564,$71.95,$72.76,$71.87
10/11/2016,$71.94,661342,$73.70,$74.04,$71.82
10/10/2016,$73.97,781458,$73.58,$74.39,$73.58
10/07/2016,$73.08,469349,$73.96,$73.96,$72.61
10/06/2016,$74.16,536601,$73.87,$74.42,$73.87
10/05/2016,$73.90,662750,$73.85,$74.515,$73.75
10/04/2016,$73.60,787993,$73.28,$74.30,$73.05
10/03/2016,$72.94,937320,$72.15,$73.13,$71.84
09/30/2016,$72.26,821384,$71.12,$72.53,$70.58
09/29/2016,$70.47,530147,$71.64,$71.66,$70.30
09/28/2016,$71.53,477169,$70.96,$71.62,$70.53
09/27/2016,$70.56,540989,$69.03,$70.62,$69.00
09/26/2016,$69.52,559266,$69.31,$69.61,$68.026
09/23/2016,$69.78,596525,$70.02,$70.73,$69.67
09/22/2016,$70.15,445749,$69.91,$70.30,$69.49
09/21/2016,$69.21,507229,$68.30,$69.55,$68.21
09/20/2016,$67.63,471057,$68.70,$68.96,$67.63
09/19/2016,$68.01,432950,$68.60,$69.13,$67.80
09/16/2016,$67.77,1296042,$68.11,$68.27,$67.47
09/15/2016,$68.41,491200,$67.30,$68.61,$67.30
09/14/2016,$67.76,621204,$68.65,$68.91,$67.52
09/13/2016,$68.43,519620,$69.42,$69.86,$68.14
09/12/2016,$70.24,510846,$68.57,$70.39,$68.33
09/09/2016,$69.15,649977,$70.83,$70.83,$69.14
09/08/2016,$71.60,429101,$72.61,$72.75,$71.59
09/07/2016,$72.61,525627,$71.54,$72.70,$71.33
09/06/2016,$71.54,584537,$72.49,$72.49,$70.84
09/02/2016,$72.36,553395,$71.78,$72.72,$71.68
09/01/2016,$71.33,457080,$71.86,$72.22,$70.75
08/31/2016,$71.46,934781,$71.04,$71.57,$70.16
08/30/2016,$71.12,649025,$70.41,$71.60,$70.41
08/29/2016,$71.58,546451,$72.16,$72.35,$71.52
08/26/2016,$71.94,878805,$71.58,$72.775,$71.52
08/25/2016,$71.65,673898,$70.76,$71.78,$70.5601
08/24/2016,$71.10,506922,$71.15,$71.55,$70.69
08/23/2016,$70.90,914790,$70.69,$71.81,$70.635
08/22/2016,$70.22,680556,$70.00,$70.46,$69.75
08/19/2016,$70.32,574946,$69.69,$70.4991,$69.6301
08/18/2016,$70.09,1285370,$69.99,$70.90,$69.89
08/17/2016,$70.12,929782,$69.72,$70.23,$69.26
08/16/2016,$69.44,719430,$69.96,$70.67,$69.39
08/15/2016,$70.48,474677,$69.65,$70.77,$69.65
08/12/2016,$69.55,541295,$69.84,$69.84,$69.18
08/11/2016,$70.18,931007,$69.27,$70.39,$69.11
08/10/2016,$69.03,734271,$69.07,$69.89,$68.64
08/09/2016,$68.99,500936,$69.01,$69.73,$68.565
08/08/2016,$68.93,500912,$69.39,$70.17,$68.86
08/05/2016,$69.41,598367,$68.79,$70.36,$68.59
08/04/2016,$68.27,511090,$68.07,$68.445,$67.84
08/03/2016,$67.91,739772,$66.59,$68.22,$66.53
08/02/2016,$66.82,899452,$67.93,$68.18,$66.50
08/01/2016,$67.86,1368429,$69.53,$69.53,$67.50
07/29/2016,$69.40,1194890,$69.63,$70.32,$69.00
07/28/2016,$69.48,682163,$69.23,$69.83,$68.80
07/27/2016,$69.18,1237186,$69.88,$69.88,$68.05
07/26/2016,$70.28,862582,$70.09,$70.80,$69.77
07/25/2016,$69.98,1183351,$70.52,$71.18,$69.47
07/22/2016,$70.40,1299527,$70.55,$71.15,$69.99
07/21/2016,$70.27,1853111,$68.87,$71.11,$66.65
07/20/2016,$68.87,1214403,$67.58,$69.04,$66.93
07/19/2016,$67.46,617211,$67.84,$68.3899,$67.11
07/18/2016,$68.27,690140,$67.79,$68.55,$67.74
07/15/2016,$67.60,1109571,$67.64,$68.19,$67.27
07/14/2016,$67.28,922996,$67.23,$68.24,$67.13
07/13/2016,$66.23,1040657,$66.41,$66.44,$64.62
07/12/2016,$66.57,1193440,$64.79,$66.76,$64.68
07/11/2016,$63.93,841929,$63.38,$64.74,$63.18
07/08/2016,$62.85,1013229,$61.93,$63.25,$61.36
07/07/2016,$60.88,1284959,$61.02,$62.39,$60.25
07/06/2016,$60.67,1480676,$60.84,$61.09,$59.39
07/05/2016,$61.31,1256785,$61.83,$62.49,$61.22
07/01/2016,$62.93,1280051,$63.05,$64.16,$62.21
06/30/2016,$64.34,1321272,$62.79,$64.35,$62.47
06/29/2016,$62.59,1808070,$61.53,$62.92,$61.08
06/28/2016,$59.90,3029681,$61.51,$62.57,$58.23
06/27/2016,$60.34,3931899,$63.22,$63.60,$57.26
06/24/2016,$66.53,4131786,$71.07,$72.5325,$65.17
06/23/2016,$76.83,1037056,$77.25,$77.57,$75.67
06/22/2016,$76.30,620373,$75.61,$76.82,$75.61
06/21/2016,$75.71,685012,$75.30,$76.22,$75.02
06/20/2016,$75.17,608642,$74.61,$76.27,$74.24
06/17/2016,$73.80,909311,$73.42,$74.63,$73.10
06/16/2016,$73.49,997466,$71.99,$73.93,$71.31
06/15/2016,$72.83,950976,$74.05,$74.60,$72.71
06/14/2016,$73.51,1162018,$74.61,$74.63,$72.96
06/13/2016,$75.01,492886,$76.49,$76.90,$74.98
06/10/2016,$76.60,718175,$78.16,$78.16,$76.13
06/09/2016,$79.19,608623,$79.72,$80.12,$78.92
06/08/2016,$80.18,541779,$80.04,$80.56,$79.24
06/07/2016,$79.98,390731,$79.06,$80.21,$78.70
06/06/2016,$79.06,577282,$78.63,$79.64,$78.54
06/03/2016,$78.79,525400,$80.23,$80.73,$77.83
06/02/2016,$80.95,337583,$79.74,$80.98,$79.74
06/01/2016,$80.13,368088,$79.22,$80.23,$79.18
05/31/2016,$79.75,564244,$79.59,$80.10,$79.18
05/27/2016,$79.49,475049,$78.17,$79.73,$77.84
05/26/2016,$79.03,536694,$79.26,$79.83,$78.65
05/25/2016,$79.32,435485,$79.78,$79.95,$79.07
05/24/2016,$79.45,518258,$78.22,$79.57,$78.21
05/23/2016,$77.56,380385,$78.30,$78.68,$77.47
05/20/2016,$78.36,649842,$77.60,$78.93,$77.35
05/19/2016,$77.06,432433,$77.36,$78.05,$76.05
05/18/2016,$77.87,727794,$77.78,$78.80,$77.14
05/17/2016,$77.80,614709,$78.33,$79.825,$77.61
05/16/2016,$78.31,597680,$76.95,$78.62,$76.94
05/13/2016,$77.12,496274,$76.78,$77.76,$76.60
05/12/2016,$77.16,612443,$77.81,$78.25,$76.40
05/11/2016,$77.16,546719,$78.28,$78.60,$77.14
05/10/2016,$78.40,747230,$77.35,$78.54,$77.05
05/09/2016,$76.78,696065,$76.96,$77.51,$76.265
05/06/2016,$76.80,628069,$76.17,$76.95,$75.88
05/05/2016,$76.92,689157,$77.68,$78.225,$76.45
05/04/2016,$77.13,552484,$76.85,$78.05,$76.07
05/03/2016,$77.15,615350,$76.12,$77.58,$75.88
05/02/2016,$77.19,959164,$77.41,$77.61,$76.60
04/29/2016,$77.03,965768,$78.54,$78.79,$76.44
04/28/2016,$78.74,757250,$78.91,$80.13,$78.45
04/27/2016,$79.37,1065589,$81.19,$82.32,$77.64
04/26/2016,$81.53,607698,$81.52,$81.94,$80.67
04/25/2016,$81.11,753702,$81.10,$81.78,$80.03
04/22/2016,$81.07,1134511,$79.68,$82.29,$79.35
04/21/2016,$79.08,2359234,$80.88,$81.35,$77.34
04/20/2016,$85.38,794877,$84.46,$85.80,$83.51
04/19/2016,$84.10,433201,$84.17,$84.61,$83.27
04/18/2016,$83.64,613184,$82.67,$83.85,$82.52
04/15/2016,$82.97,495538,$83.15,$83.58,$82.41
04/14/2016,$83.06,489729,$82.97,$83.42,$82.44
04/13/2016,$83.02,404003,$81.71,$83.39,$81.355
04/12/2016,$81.18,465141,$79.87,$81.3925,$78.77
04/11/2016,$79.70,465496,$79.95,$80.75,$79.53
04/08/2016,$79.63,415662,$79.96,$80.20,$79.35
04/07/2016,$79.09,613284,$80.25,$80.60,$78.06
04/06/2016,$80.08,544503,$79.85,$80.39,$79.00
04/05/2016,$80.01,721907,$80.43,$80.96,$79.87
04/04/2016,$81.11,648357,$82.94,$82.99,$80.86
04/01/2016,$82.86,1054283,$81.18,$82.94,$80.61
03/31/2016,$81.42,855215,$80.79,$81.66,$80.79
03/30/2016,$80.96,573990,$80.54,$81.55,$80.34
03/29/2016,$80.00,794625,$79.54,$80.08,$79.14
03/28/2016,$79.57,332513,$80.00,$80.00,$79.04
03/24/2016,$79.88,762007,$78.88,$79.90,$78.28
03/23/2016,$79.15,390937,$80.01,$80.35,$79.12
03/22/2016,$79.93,618240,$79.15,$80.21,$78.30
03/21/2016,$79.40,510139,$79.75,$79.81,$78.54
03/18/2016,$79.60,918334,$78.95,$80.69,$78.84
03/17/2016,$79.06,502675,$77.71,$79.41,$77.61
03/16/2016,$77.98,330828,$77.08,$78.30,$76.92
03/15/2016,$77.27,296226,$77.36,$77.39,$76.50
03/14/2016,$77.68,319367,$78.06,$78.30,$77.32
03/11/2016,$78.45,370975,$77.00,$78.53,$76.61
03/10/2016,$76.16,602410,$77.96,$78.1441,$75.39
03/09/2016,$77.48,525369,$78.00,$78.25,$76.76
03/08/2016,$77.81,468366,$79.59,$79.59,$77.69
03/07/2016,$79.99,486823,$80.03,$80.41,$79.43
03/04/2016,$80.32,648901,$80.58,$80.85,$80.00
